Composite_Name,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
mc_m05000000_lew500p3.fits,0.06425535625709095,-0.07146762481511633,0.12259127607408073,0.10186317232571787,0.08705699139397902,0.037209071188447226,0.000625780309382278,0.003980200726828545,-0.07616103476625083,0.0147381719299016
mc_05001000_lew500p2.fits,0.056995356235139474,-0.007849392498606502,0.06417253954312185,0.05988006699531288,0.043796748556543724,0.05402649039109056,0.02092225112599429,0.027587188375607218,-0.012193400059457956,0.04156299055715284
mc_00000500_hew500.fits,0.157583158648568,-0.22901108420033411,0.20747376456518588,0.059840597780642775,0.1341621643293679,0.04447972459600928,-0.06969734581376417,-0.03772058648325164,-0.1561996336377487,-0.014766672505256631
mc_05001000_lew500p3.fits,0.06464133005667634,-0.025146029797626722,0.07858050681046917,0.05818713703903233,0.04758936404704833,0.05761187186227481,0.009407443694048586,0.02635327643431093,-0.02187484818597473,0.037219031594636034
mc_20002500_010025.fits,0.04884189677496497,0.04393541628111289,0.026160777869649897,0.04603137910765138,0.013610438075112065,0.050052020923541767,0.03094580959259642,0.04341013656601859,0.0023259564165883156,0.05615156237055234
mc_m05000000_lew500p2.fits,0.04771149114462885,-0.03722078216530649,0.1023659075932367,0.10113079034551778,0.06903310191540928,0.041295277594854865,0.01744478254789105,0.014681959907881643,-0.05276195497603258,0.024306944513902303
mc_25003000_all.fits,0.05005179080523726,0.051892114865937755,0.023631989190028357,0.04282961928530865,0.006236479443924581,0.046463326486469114,0.026976595621181862,0.04695429418944461,-0.006417838229084147,0.05497060351569571
mc_05001000_lew500p4.fits,0.07539387766909958,-0.050130959894265165,0.10820878941344747,0.05152862319788783,0.05576975545174003,0.05878220697312926,-0.0069668427439712344,0.018801720581447127,-0.035349151581660604,0.027261665590812056
mc_10001500_lew500.fits,0.03680760264841535,0.03883638445079697,0.03317404011732661,0.06172131182192015,0.028980822261992792,0.051143238036125686,0.04417702846140691,0.032617488116967845,0.011839937256635203,0.05822122791021648
mc_00000500_lew500p1.fits,0.04591297710639688,0.0026610261725257224,0.06402565428312404,0.07218122831500513,0.04798605185793102,0.048571954462412276,0.027089664134438085,0.022651879313957318,-0.02078085006331455,0.04080180531737623
mc_30006000_all.fits,0.045794625455538064,0.06849703125428279,0.02410553585259697,0.04177574702900647,-0.0004287220871100848,0.0381907777830567,0.026611147413584012,0.04200570245521012,-0.020970233561806304,0.047892541927715096
mc_m05000000_lew500p4.fits,0.08663069126508438,-0.12588369689417783,0.14592259176000055,0.11008646244949317,0.1071024575152689,0.03696561647299612,-0.012082894185422851,-0.005227575800955496,-0.09839061275209313,0.007894617100742043
mc_15002000_hew500.fits,0.06849434910940862,-0.002512390339810381,0.06461539587705656,0.03997724122552427,0.019464030846599884,0.05971440687033857,0.002194742643211975,0.04976056146595041,-0.011265462540191848,0.0494171283903153
mc_10001500_lew500p1.fits,0.05088023208691009,0.021129000751373535,0.0408870652219428,0.057410920369655456,0.02855204062477934,0.04988930910505738,0.02855141143180428,0.03345627198365112,0.0043415384513236805,0.055042530351369974
mc_15002000_lew500p1.fits,0.050785590000461,0.030890734354248803,0.03358233386077698,0.050618311088035974,0.020670097248634844,0.05168462472999804,0.029358657562128233,0.03899268853020958,0.004756021796156836,0.0557673176709555
mc_m05000000_lew500.fits,0.024205786507608035,0.03020218115017404,0.05162773393109536,0.08986311293472002,0.04499443198619153,0.0442791333824326,0.042517191509520366,0.0294476437507801,-0.018031057096615958,0.05039451153119551
