Composite_Name,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
mc_m05000000_lew500p3.fits,0.022674835231981800,0.03157200565103250,0.042813662524083600,0.04594015372911380,0.03611595846173020,0.035340607321100700,0.05348256567416060,0.08372118691546220,0.07043795850591470,0.007806311648457030
mc_05001000_lew500p2.fits,0.03626024293373900,0.0343450386087446,0.0496430935504283,0.03382241168486310,0.033919190177907000,0.03545555532635480,0.018811689879079200,0.04094613400487500,0.06112411247052660,-0.01145522047392430
mc_00000500_hew500.fits,0.021095222850337300,0.00434720728815606,0.07539126336221900,0.07051530329602430,0.03190339099178440,0.02130149740580000,0.12469190365549300,0.09003942051737960,0.09898374060556620,0.0360071358991686
mc_05001000_lew500p3.fits,0.03721311616928060,0.029693101456672500,0.05458076626193740,0.03663188951566930,0.031752023740687600,0.03675769462934110,0.02336831250904550,0.043955414830009300,0.056996994895196100,-0.008637574216129030
mc_20002500_010025.fits,0.0602629809036765,0.033065701788673500,0.03481790247023320,0.029752489833769200,0.02558973163515350,0.03135403461209440,0.008911948762842760,0.024583198329767700,0.057014271640310200,-0.004613655838202590
mc_m05000000_lew500p2.fits,0.02289356474065410,0.03759549703717490,0.04007031795745080,0.04079525822080700,0.03599851953512420,0.03677981026062780,0.0387379672168416,0.07532933462782960,0.06295090051932200,0.001147174621814900
mc_25003000_all.fits,0.06770521685060070,0.03009861056291820,0.03202758959621990,0.029694290875645600,0.022214580212458200,0.030925589433827100,0.00813006944880584,0.023557363858410100,0.053910758043939400,0.0003947785621111080
mc_05001000_lew500p4.fits,0.03744346012361430,0.025617864576131700,0.05668147919004790,0.04399608237234410,0.029074767666302800,0.03580229175113190,0.03918748561121240,0.045166966727021000,0.05614377718845130,-0.0035599550154751400
mc_10001500_lew500.fits,0.04007899802031530,0.04564978850085550,0.03578825699747690,0.028829123393492300,0.03217627980197590,0.03052470549468350,0.010777488828928800,0.0322387796038928,0.062407294946244900,-0.013150780862148700
mc_00000500_lew500p1.fits,0.0286221568219218,0.04265739021611240,0.043022591092331300,0.03280557326278230,0.034738631083260400,0.033152610191243600,0.02096300103328780,0.05110301815566060,0.060110084992523800,-0.011059633371671200
mc_30006000_all.fits,0.07033710232749100,0.034892418136536200,0.022979955303996200,0.0306845231721526,0.01726505379281150,0.028487769856171500,0.011070177758204500,0.024189205204010700,0.04663193357248780,0.003083037105655520
mc_m05000000_lew500p4.fits,0.017531273824864300,0.022129174197050500,0.05209658567154710,0.051769213268601800,0.040741936084751500,0.03574255328290820,0.0720278421111609,0.09705321771971530,0.08474018016509830,0.024690762223802300
mc_15002000_hew500.fits,0.06686079644900570,0.013459237879026700,0.05174067389506900,0.036727183339253200,0.02256118686368190,0.040566912843665500,0.014054507117342500,0.026838774299417600,0.04762728296774620,-0.006964033960066900
mc_10001500_lew500p1.fits,0.04502958652398430,0.03793999476361960,0.041268650904139600,0.031514246410611900,0.028977409978854800,0.03156262423881520,0.011936538519925700,0.03345168258220380,0.06130572116306740,-0.013530003215378900
mc_15002000_lew500p1.fits,0.05207397403707200,0.03510585920482580,0.03951395162873710,0.0304496760315439,0.027873859555040000,0.03161604305002970,0.009778783300323680,0.028502477423975800,0.058735700656558400,-0.009623052088729400
mc_m05000000_lew500.fits,0.025736589104336600,0.05009710763531020,0.03401465627281640,0.02899655627706570,0.03528284686792910,0.03467964077922480,0.015683316700175000,0.05719309801550280,0.06031557657067910,-0.011796315900759200
mc_05001000_lew500.fits,0.03435204088123360,0.04865388539007730,0.037994317719002800,0.02703937601500040,0.0322688638748999,0.030108826075456000,0.011279164675715000,0.038101662061127100,0.06019963511770710,-0.009594981238226920
mc_10001500_lew500p2.fits,0.04702750169894720,0.030588806372477000,0.04760339052571050,0.03297784363208120,0.030579596756211900,0.034951997345491900,0.013677382532914100,0.03261314846992830,0.05847492783593450,-0.013076433295299800
mc_15002000_lew500p2.fits,0.05577624052246650,0.029182127086880500,0.042489152144566000,0.03131910133400690,0.028286539636117000,0.03371379495429680,0.00986496798943749,0.028469283844327000,0.05796522839290060,-0.01110168480803650
mc_00000500_lew500p2.fits,0.028127055937534600,0.03686635187913660,0.04789831133159300,0.03777382739054360,0.03354099045531040,0.033140265094088800,0.03328673301059210,0.0566459710114581,0.0583440840686414,-0.0020005731868611400
mc_20002500_025050.fits,0.0708434402800319,0.019153011562612700,0.04146950329302530,0.032310110181508600,0.023160488853908000,0.035657282556344400,0.0091492497368707,0.023993691236173100,0.05190445516207390,-0.002067904976498380
mc_m10000500_all.fits,0.021876229459801600,0.035464013315894400,0.034491152308237300,0.04182838703889690,0.036704446787422300,0.04027657688875150,0.031472110174006100,0.09797461528108010,0.07609869182220970,0.00041579375114376100
mc_00000500_lew500p3.fits,0.02694446418969850,0.032238842167680700,0.05036357540944720,0.04282477998266890,0.03400137080907360,0.03381022937502120,0.049482742185569200,0.059740687070852800,0.06355989588727170,0.002386708681904660
mc_00000500_lew500.fits,0.02870214383836070,0.05010933750854850,0.03628027492878410,0.026899064048515700,0.03555921781324780,0.034527632031885600,0.013185313456480700,0.044926734830925800,0.059529454328972800,-0.013207676559315900
mc_15002000_lew500p3.fits,0.05969226348686380,0.02317598606137930,0.04718974169172210,0.0326450851535788,0.02596612185838320,0.036791328843506200,0.010746788015334800,0.026974025375509500,0.05723595318764080,-0.007219874571099930
mc_10001500_lew500p3.fits,0.049292248244691300,0.02368060389557750,0.05353149465943830,0.03668048625639880,0.028718087589608700,0.038657444699839700,0.017660759415906800,0.03285974036025750,0.05421563821947340,-0.010502862907473600
mc_00000500_lew500p4.fits,0.02659441358326410,0.0241290823682787,0.05472610577854300,0.05171888492253900,0.03287940630774610,0.03222673094533360,0.07411970360980080,0.06639985503963660,0.0725140417881943,0.006440041707176480
mc_10001500_hew500.fits,0.05390034792848730,0.014007471512311700,0.05868126938726110,0.04772386331482580,0.02308045001579300,0.03935905366351260,0.03256183223840920,0.034827767679086400,0.054803227520302200,0.005112841250168470
mc_m05000000_lew500p1.fits,0.023158012450514900,0.043942802773815800,0.0372061346637192,0.03572932879657270,0.03671432644706630,0.036928103313964600,0.02504942084524160,0.06574587887292640,0.05888045900868360,-0.008035406968146290
mc_m05000000_hew500.fits,0.012840329649891200,0.004819116757696990,0.0704412018078354,0.061618104328647700,0.04069244701933230,0.03086988188565570,0.10433610906500300,0.12473257082146600,0.1011224247747660,0.04191522224432790
mc_15002000_lew500.fits,0.04855931802808140,0.04183509729748830,0.035150397838144800,0.029133108285098900,0.02834884382296730,0.029041013862137500,0.010440942094195100,0.027680224139057700,0.058240555570941000,-0.007751682775472880
mc_05001000_hew500.fits,0.04198728516623630,0.01114692600146970,0.060475321107814500,0.06220205677206990,0.02591386152921740,0.031126519790405100,0.06709650955323440,0.05493129510233460,0.07542865494579720,-0.00017988896908178500
mc_05001000_lew500p1.fits,0.036604907888067700,0.040439413048856400,0.04370833663860160,0.03126728024767900,0.0321936687656755,0.03236980438077190,0.014021265472326400,0.04025942439337860,0.06044967090275130,-0.013415536768273400
